Chunk Index,Delay Rate
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0.017543859649122806
57,0.034482758620689655
58,0.03389830508474576
59,0.05
60,0.04918032786885246
61,0.06451612903225806
62,0.07936507936507936
63,0.078125
64,0.09230769230769231
65,0.09090909090909091
66,0.1044776119402985
67,0.11764705882352941
68,0.11594202898550725
69,0.12857142857142856
70,0.14084507042253522
71,0.1388888888888889
72,0.1506849315068493
73,0.14864864864864866
74,0.16
75,0.17105263157894737
76,0.18181818181818182
77,0.19230769230769232
78,0.189873417721519
79,0.2
80,0.19753086419753085
81,0.2073170731707317
82,0.21686746987951808
83,0.21428571428571427
84,0.21176470588235294
85,0.20930232558139536
86,0.21839080459770116
87,0.2159090909090909
88,0.2247191011235955
89,0.2222222222222222
90,0.23076923076923078
91,0.2391304347826087
92,0.23655913978494625
93,0.24468085106382978
94,0.24210526315789474
95,0.25
96,0.24742268041237114
97,0.24489795918367346
98,0.24242424242424243
99,0.25
100,0.24752475247524752
101,0.24509803921568626
102,0.24271844660194175
103,0.2403846153846154
104,0.23809523809523808
105,0.2358490566037736
106,0.2336448598130841
107,0.23148148148148148
108,0.22935779816513763
109,0.22727272727272727
110,0.22522522522522523
111,0.22321428571428573
112,0.22123893805309736
113,0.21929824561403508
114,0.21739130434782608
115,0.21551724137931033
116,0.2222222222222222
117,0.22033898305084745
118,0.2184873949579832
119,0.21666666666666667
120,0.21487603305785125
121,0.21311475409836064
122,0.21138211382113822
123,0.20967741935483872
124,0.208
125,0.20634920634920634
126,0.2047244094488189
127,0.203125
128,0.20155038759689922
129,0.2
130,0.1984732824427481
131,0.20454545454545456
132,0.20300751879699247
133,0.20149253731343283
134,0.2
135,0.19852941176470587
136,0.19708029197080293
137,0.1956521739130435
138,0.19424460431654678
139,0.19285714285714287
140,0.19148936170212766
141,0.19014084507042253
142,0.1888111888111888
143,0.19444444444444445
144,0.19310344827586207
145,0.1917808219178082
146,0.19047619047619047
147,0.1891891891891892
148,0.18791946308724833
149,0.18666666666666668
150,0.18543046357615894
151,0.18421052631578946
152,0.1830065359477124
153,0.18181818181818182
154,0.18064516129032257
155,0.1794871794871795
156,0.17834394904458598
157,0.17721518987341772
158,0.1761006289308176
159,0.175
160,0.17391304347826086
161,0.1728395061728395
162,0.17177914110429449
163,0.17073170731707318
164,0.1696969696969697
165,0.1746987951807229
166,0.17365269461077845
167,0.17261904761904762
168,0.17159763313609466
169,0.17058823529411765
170,0.1695906432748538
171,0.1686046511627907
172,0.1676300578034682
173,0.16666666666666666
174,0.1657142857142857
175,0.16477272727272727
176,0.1638418079096045
177,0.16292134831460675
178,0.16201117318435754
179,0.16111111111111112
180,0.16022099447513813
181,0.16483516483516483
182,0.16393442622950818
183,0.16304347826086957
184,0.16216216216216217
185,0.16129032258064516
186,0.16042780748663102
187,0.1595744680851064
188,0.15873015873015872
189,0.15789473684210525
190,0.15706806282722513
191,0.15625
192,0.15544041450777202
193,0.15463917525773196
194,0.15384615384615385
195,0.15306122448979592
196,0.15736040609137056
197,0.15656565656565657
198,0.15577889447236182
199,0.155
200,0.15422885572139303
201,0.15346534653465346
202,0.15270935960591134
203,0.15196078431372548
204,0.15121951219512195
205,0.15048543689320387
206,0.1497584541062802
207,0.14903846153846154
208,0.14832535885167464
209,0.14761904761904762
210,0.14691943127962084
211,0.14622641509433962
212,0.14553990610328638
213,0.14953271028037382
214,0.14883720930232558
215,0.14814814814814814
216,0.14746543778801843
217,0.14678899082568808
218,0.1461187214611872
219,0.14545454545454545
220,0.14479638009049775
221,0.14414414414414414
222,0.14349775784753363
223,0.14285714285714285
224,0.14222222222222222
225,0.1415929203539823
226,0.14096916299559473
227,0.14473684210526316
228,0.14410480349344978
229,0.14347826086956522
230,0.14285714285714285
231,0.14224137931034483
232,0.14163090128755365
233,0.14102564102564102
