Chunk Index,Drop Rate
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0.010101010101010102
100,0.020202020202020204
101,0.02
102,0.019801980198019802
103,0.0196078431372549
104,0.019417475728155338
105,0.019230769230769232
106,0.01904761904761905
107,0.018867924528301886
108,0.02830188679245283
109,0.03773584905660377
110,0.037383177570093455
111,0.037037037037037035
112,0.03669724770642202
113,0.03636363636363636
114,0.036036036036036036
115,0.04504504504504504
116,0.05405405405405406
117,0.05357142857142857
118,0.05309734513274336
119,0.05263157894736842
120,0.05217391304347826
121,0.05172413793103448
122,0.0603448275862069
123,0.06896551724137931
124,0.06837606837606838
125,0.06779661016949153
126,0.06722689075630252
127,0.06666666666666667
128,0.06611570247933884
129,0.0743801652892562
130,0.08264462809917356
131,0.08196721311475409
132,0.08130081300813008
133,0.08064516129032258
134,0.08
135,0.07936507936507936
136,0.07874015748031496
137,0.08661417322834646
138,0.09448818897637795
139,0.09375
140,0.09302325581395349
141,0.09230769230769231
142,0.0916030534351145
143,0.09090909090909091
144,0.09848484848484848
145,0.10606060606060606
146,0.10526315789473684
147,0.1044776119402985
148,0.1037037037037037
149,0.10294117647058823
150,0.10218978102189781
151,0.10948905109489052
152,0.11678832116788321
153,0.11594202898550725
154,0.11510791366906475
155,0.11428571428571428
156,0.11347517730496454
157,0.11267605633802817
158,0.11188811188811189
159,0.11888111888111888
160,0.1258741258741259
161,0.125
162,0.12413793103448276
163,0.1232876712328767
164,0.12244897959183673
165,0.12162162162162163
166,0.12837837837837837
167,0.13513513513513514
168,0.1342281879194631
169,0.13333333333333333
170,0.13245033112582782
171,0.13157894736842105
172,0.13071895424836602
173,0.13725490196078433
174,0.1437908496732026
175,0.14285714285714285
176,0.14193548387096774
177,0.14102564102564102
178,0.14012738853503184
179,0.13924050632911392
180,0.13836477987421383
181,0.1375
182,0.14375
183,0.15
184,0.14906832298136646
185,0.14814814814814814
186,0.147239263803681
187,0.14634146341463414
188,0.1524390243902439
189,0.15853658536585366
190,0.15757575757575756
191,0.1566265060240964
192,0.15568862275449102
193,0.15476190476190477
194,0.15384615384615385
195,0.15976331360946747
196,0.16568047337278108
197,0.16470588235294117
198,0.16374269005847952
199,0.16279069767441862
200,0.16184971098265896
201,0.16091954022988506
202,0.16
203,0.1590909090909091
204,0.16477272727272727
205,0.17045454545454544
206,0.1694915254237288
207,0.16853932584269662
208,0.16759776536312848
209,0.16666666666666666
210,0.16574585635359115
211,0.1712707182320442
212,0.17679558011049723
213,0.17582417582417584
214,0.17486338797814208
215,0.17391304347826086
216,0.17297297297297298
217,0.17204301075268819
218,0.1711229946524064
219,0.17647058823529413
220,0.18181818181818182
221,0.18085106382978725
222,0.17989417989417988
223,0.17894736842105263
224,0.17801047120418848
225,0.17708333333333334
226,0.18229166666666666
227,0.1875
228,0.18652849740932642
229,0.18556701030927836
230,0.18461538461538463
231,0.1836734693877551
232,0.18274111675126903
233,0.18781725888324874
234,0.19289340101522842
235,0.1919191919191919
236,0.19095477386934673
237,0.19
238,0.1890547263681592
239,0.18811881188118812
240,0.18719211822660098
241,0.18627450980392157
242,0.19117647058823528
243,0.19607843137254902
244,0.1951219512195122
245,0.1941747572815534
246,0.1932367149758454
247,0.19230769230769232
248,0.19138755980861244
249,0.19617224880382775
250,0.20095693779904306
251,0.2
252,0.1990521327014218
253,0.19811320754716982
254,0.19718309859154928
255,0.19626168224299065
256,0.19534883720930232
257,0.19444444444444445
258,0.1935483870967742
259,0.1926605504587156
